exp_id,timestamp,name,description,use_smote,learning_rate,max_depth,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,full_train_accuracy,full_train_f1,full_train_precision,full_train_recall,full_train_metric_scope,model_type
exp_016_exp3_handcrafted_exp1base,2026-03-27 23:57:45,exp3_handcrafted_exp1base,Exp 3: 手工文本特徵 (12維)，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.8794957983193277,0.0365832764902384,0.919446810519694,0.0250022448296554,0.9161129918722004,0.024240527131072,0.924156746031746,0.0439475169208934,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_017_exp3_tfidf_handcrafted_exp1base,2026-03-27 23:58:22,exp3_tfidf_handcrafted_exp1base,Exp 3: TF-IDF(20維) + 手工文本特徵(12維)，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.879467787114846,0.0411211350968049,0.9191869597615498,0.0285073786473744,0.915511842600906,0.0177858973933436,0.924156746031746,0.0503594138417461,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_018_exp3_handcrafted_exp1base,2026-03-28 01:05:26,exp3_handcrafted_exp1base,Exp 3: 手工文本特徵 (12維)，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.8865546218487396,0.02411307569152,0.9229438277182564,0.0167157235483802,0.9358807301826928,0.0207553016410985,0.9114583333333331,0.0339721999729227,0.9763593380614656,0.9839743589743588,0.9967532467532468,0.971518987341772,train_set_only_no_validation,catboost
exp_019_exp3_handcrafted15_exp1base,2026-03-28 01:15:16,exp3_handcrafted15_exp1base,Exp 3: 手工文本特徵 (15維 = 12原始 + 3新增)，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.877142857142857,0.0381806588854659,0.9172702021714368,0.0268622877202068,0.9189580281918128,0.0266746249347336,0.9178075396825396,0.0523645093539899,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_020_exp3_handcrafted15_exp1base,2026-03-28 01:16:27,exp3_handcrafted15_exp1base,Exp 3: 手工文本特徵 (15維 = 12原始 + 3新增)，其他設定同 Exp1 Baseline (depth=8),False,0.05,8,0.8865546218487396,0.035295896091425,0.9240501585879584,0.024132224432388,0.9216452526859,0.018453294394339,0.9273313492063492,0.0405831579490887,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_001_exp1_CB_method0,2026-03-29 01:26:25,exp1_CB_method0,Exp1 CB method0: imputation method0,False,0.05,8,0.8890196078431373,0.0453990338228257,0.9259017821848587,0.0309157906910514,0.9196745281058162,0.0290899581052708,0.9336309523809524,0.0494206960981112,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_002_exp1_CB_method1,2026-03-29 01:26:35,exp1_CB_method1,Exp1 CB method1: imputation method1,False,0.05,8,0.7564705882352941,0.0934865462251258,0.8418962699678634,0.0614072236594048,0.8189663004097154,0.0631362886395447,0.867361111111111,0.0668886256878527,0.9952718676122932,0.9968253968253968,1.0,0.9936708860759492,train_set_only_no_validation,catboost
exp_003_exp1_CB_method2,2026-03-29 01:26:47,exp1_CB_method2,Exp1 CB method2: imputation method2,False,0.05,8,0.8559663865546219,0.0377360517786577,0.904327972121442,0.0264941005903325,0.8959048911287717,0.0308912140599086,0.9145833333333332,0.0443846146330568,1.0,1.0,1.0,1.0,train_set_only_no_validation,catboost
exp_004_exp1_CB_method3,2026-03-29 01:26:58,exp1_CB_method3,Exp1 CB method3: imputation method3,False,0.05,8,0.7187114845938376,0.0682072311470593,0.8114256410256411,0.0499330086389982,0.8084359309443565,0.0354698381131534,0.8167658730158729,0.07433700618661,0.9976359338061466,0.9984152139461172,1.0,0.9968354430379748,train_set_only_no_validation,catboost
exp_005_exp1_LGBM_method0,2026-03-29 01:27:10,exp1_LGBM_method0,Exp1 LGBM method0: imputation method0,False,0.03,5,0.8487675070028011,0.0308630089889989,0.8956745719030919,0.0197079235979291,0.9271320003934326,0.0341861299998655,0.8671130952380952,0.0213515019860953,0.9267139479905436,0.9490968801313628,0.9863481228668942,0.9145569620253164,train_set_only_no_validation,lightgbm
